iter	Logloss
0	0.5857694074
1	0.5126699453
2	0.4640120007
3	0.4309705962
4	0.4050452344
5	0.3852926351
6	0.3719463981
7	0.3643885649
8	0.3544700126
9	0.3478325047
10	0.3419279106
11	0.3363689078
12	0.332418574
13	0.3293562458
14	0.3258813873
15	0.3237631663
16	0.3217178682
17	0.3199547137
18	0.3179136769
19	0.3170212225
20	0.3154699786
21	0.3142021135
22	0.3132167583
23	0.3124783495
24	0.3105451642
25	0.3099439079
26	0.3085459747
27	0.307478175
28	0.3068230167
29	0.3058201536
30	0.3050948976
31	0.3041758297
32	0.3036508952
33	0.3031236598
34	0.3024910779
35	0.3011279011
36	0.3007445372
37	0.3003615987
38	0.2994663779
39	0.2990780326
40	0.2985072643
41	0.2980761408
42	0.2976753911
43	0.2965304142
44	0.2962903847
45	0.2960513607
46	0.2956961087
47	0.2954183798
48	0.2951746548
49	0.2946646687
50	0.2943409172
51	0.2940649388
52	0.2939233047
53	0.2936571585
54	0.293362347
55	0.2928290691
56	0.2926087695
57	0.2924360865
58	0.2921900289
59	0.2913047973
60	0.290983623
61	0.2907979431
62	0.2906646672
63	0.2905726991
64	0.290154328
65	0.2894658364
66	0.2893914491
67	0.2892145582
68	0.2891121353
69	0.2881586656
70	0.2880209458
71	0.2878881714
72	0.287789774
73	0.2876110862
74	0.2867605142
75	0.2865041437
76	0.2863462083
77	0.2856805128
78	0.2856058108
79	0.2855645833
80	0.2851909305
81	0.2851560803
82	0.2845489762
83	0.2842076875
84	0.2840599321
85	0.2835211078
86	0.2834437657
87	0.2833214257
88	0.2832290481
89	0.283088082
90	0.2830418962
91	0.2828901522
92	0.2828267968
93	0.2827353416
94	0.2825860293
95	0.2825498103
96	0.2822569234
97	0.2822114052
98	0.2821041789
99	0.2819265244
100	0.2816699192
101	0.2816001959
102	0.2815999808
103	0.281536166
104	0.2810771614
105	0.2804178158
106	0.2803318639
107	0.2802008988
108	0.2798081414
109	0.2796584344
110	0.2795699578
111	0.2794442196
112	0.2793936076
113	0.2792355083
114	0.2791923974
115	0.279060722
116	0.2787666217
117	0.2787251104
118	0.2786910871
119	0.2783698288
120	0.2783300145
121	0.2781489946
122	0.2781204395
123	0.2780645871
124	0.2779987256
125	0.2779707129
126	0.2778079
127	0.2778024301
128	0.2777571449
129	0.2776740146
130	0.277405056
131	0.2773548225
132	0.2772311151
133	0.2771119088
134	0.2770900508
135	0.277003771
136	0.2769643915
137	0.2768880285
138	0.2768014415
139	0.2767710238
140	0.2765621265
141	0.2765165607
142	0.2764125546
143	0.2763182832
144	0.2761600448
145	0.2760916803
146	0.2759685401
147	0.2758386669
148	0.2757988304
149	0.2756325887
150	0.2755568408
151	0.2755286592
152	0.2754542403
153	0.2754209977
154	0.2754193383
155	0.2752717224
156	0.2751727726
157	0.2750961368
158	0.2750498527
159	0.2749701006
160	0.2749423022
161	0.2748616722
162	0.2748498939
163	0.2748012236
164	0.2747804847
165	0.2746508346
166	0.2745879732
167	0.2745666106
168	0.274544373
169	0.2744855905
170	0.27445295
171	0.27431717
172	0.2742795306
173	0.2741603651
174	0.2741387912
175	0.2740307801
176	0.2740199064
177	0.2739737453
178	0.273874835
179	0.2738731156
180	0.2737681043
181	0.2737557748
182	0.2737101975
183	0.273696252
184	0.2736600989
185	0.2736270906
186	0.2735796464
187	0.2735548639
188	0.2733879277
189	0.2733498712
190	0.2733116568
191	0.2732423011
192	0.2732200695
193	0.2731192761
194	0.2730394415
195	0.2730157919
196	0.2729936907
197	0.2725338644
198	0.272383214
199	0.2723504754
200	0.2722782469
201	0.272240847
202	0.2721594388
203	0.2721399125
204	0.272117166
205	0.2721150732
206	0.2719987592
207	0.2719943904
208	0.2719408984
209	0.2719247253
210	0.2719007058
211	0.2715868861
212	0.2715062408
213	0.2714679273
214	0.2714458026
215	0.2714117141
216	0.2713896073
217	0.2713680591
218	0.2713156429
219	0.2713133493
220	0.2712240922
221	0.2711894854
222	0.2711632655
223	0.2711481678
224	0.2711293017
225	0.2711194242
226	0.2711027631
227	0.2710928231
228	0.2710612282
229	0.2710455296
230	0.2710080402
231	0.2710023902
232	0.2709883004
233	0.2709489893
234	0.2708992791
235	0.2707885713
236	0.2707806074
237	0.2706803165
238	0.2705671562
239	0.2705655915
240	0.2704974445
241	0.2704194571
242	0.2703710783
243	0.2703301705
244	0.2701504646
245	0.2701487674
246	0.2701074166
247	0.2701010564
248	0.2700067543
249	0.2699631345
250	0.2699170772
251	0.2698941083
252	0.2698462695
253	0.2698415528
254	0.2698397263
255	0.2697736744
256	0.2696594382
257	0.2696205247
258	0.2695983547
259	0.2695310238
260	0.2694527165
261	0.2694467966
262	0.2694170251
263	0.2694147778
264	0.2694008734
265	0.2693592187
266	0.2693557458
267	0.2693443975
268	0.2693403203
269	0.2693023095
270	0.269261808
271	0.269245448
272	0.2691787523
273	0.2691274437
274	0.2690938725
275	0.2690301431
276	0.269000615
277	0.2689316613
278	0.2688808857
279	0.2688380205
280	0.2687840605
281	0.2687160715
282	0.268671738
283	0.2686614505
284	0.2686108412
285	0.2685755309
286	0.2685644788
287	0.2685381342
288	0.2684901694
289	0.2684457602
290	0.2683428618
291	0.2683192582
292	0.268310817
293	0.2682933911
294	0.268249811
295	0.2682359342
296	0.2681444867
297	0.268109378
298	0.2680533635
299	0.2680438481
300	0.2679999395
301	0.2678189383
302	0.2677649177
303	0.2677612248
304	0.2677524595
305	0.2676946817
306	0.2676777869
307	0.2676723899
308	0.2676066416
309	0.2675759635
310	0.2675592685
311	0.2675010691
312	0.2674751235
313	0.2674719369
314	0.2674717814
315	0.2674530299
316	0.2674432395
317	0.2674381633
318	0.2674112732
319	0.267383996
320	0.2673314634
321	0.2672638888
322	0.2672405197
323	0.2672203297
324	0.2672180083
325	0.2671876302
326	0.2671271598
327	0.2671145739
328	0.2670999615
329	0.2670802337
330	0.2670616463
331	0.2669868758
332	0.2669361774
333	0.2669144595
334	0.2669001314
335	0.2668825284
336	0.266783588
337	0.266707417
338	0.2666984491
339	0.266660834
340	0.2666075811
341	0.2665211535
342	0.266454224
343	0.2664091185
344	0.2664038698
345	0.2663825713
346	0.2663249123
347	0.2663001524
348	0.2662799591
349	0.2662471614
350	0.2662424777
351	0.2661411266
352	0.266088255
353	0.2660516854
354	0.266023016
355	0.2659869276
356	0.265976568
357	0.2659747437
358	0.2659430664
359	0.265907124
360	0.2658862584
361	0.2658782276
362	0.2658375947
363	0.2658267525
364	0.2657498604
365	0.2657267257
366	0.2657040278
367	0.2656950109
368	0.2656624629
369	0.2656291472
370	0.2655948842
371	0.2655850878
372	0.2655703364
373	0.2655697479
374	0.2655518846
375	0.2654613541
376	0.265427142
377	0.2653522171
378	0.2653426214
379	0.2653378129
380	0.2651384561
381	0.2651193478
382	0.2650862669
383	0.2650082274
384	0.2649672802
385	0.2649665529
386	0.2649339894
387	0.2649079768
388	0.2648993668
389	0.2648430868
390	0.264839147
391	0.2648343639
392	0.2647725332
393	0.2647700667
394	0.2647687684
395	0.2647323404
396	0.2647247412
397	0.2646996725
398	0.2646667891
399	0.2646372791
400	0.2646273608
401	0.2645927311
402	0.2645847974
403	0.2645258654
404	0.2645051773
405	0.2644872591
406	0.264473225
407	0.2644687537
408	0.2644664745
409	0.2644369438
410	0.2643856567
411	0.2643757137
412	0.2643653324
413	0.2642945639
414	0.2642795153
415	0.2642205061
416	0.2642189179
417	0.2641906411
418	0.2641206948
419	0.264106337
420	0.2641036383
421	0.2640688782
422	0.264058122
423	0.2640464048
424	0.264030602
425	0.264015742
426	0.263951492
427	0.2639494535
428	0.2639424546
429	0.2639316215
430	0.263920127
431	0.2638030687
432	0.2637863856
433	0.2637470265
434	0.2637030167
435	0.2636820691
436	0.2635893856
437	0.2635408868
438	0.2633496014
439	0.2633473959
440	0.2633471871
441	0.2632950984
442	0.2632462934
