iter	Logloss
443	0.263241254
444	0.2632215542
445	0.2631793187
446	0.2631612487
447	0.2631482355
448	0.2631027804
449	0.2630535103
450	0.2630492361
451	0.2630409779
452	0.2630403312
453	0.2629893225
454	0.2629822013
455	0.2629725757
456	0.2629402255
457	0.2629280588
458	0.2629122055
459	0.2628696598
460	0.2628642469
461	0.2628186831
462	0.2627789645
463	0.2627464531
464	0.262703502
465	0.2626731917
466	0.2626178508
467	0.262608703
468	0.262583999
469	0.2625721321
470	0.2625360976
471	0.2624950579
472	0.262468812
473	0.2624497171
474	0.2624379467
475	0.2624312686
476	0.2624122206
477	0.2623945447
478	0.2623837913
479	0.2623769142
480	0.2623602928
481	0.2623289355
482	0.2622793851
483	0.262263346
484	0.2622370908
485	0.262230834
486	0.2622243084
487	0.262211157
488	0.2621236573
489	0.2620920075
490	0.2620222625
491	0.2619842966
492	0.2619764456
493	0.2619366654
494	0.2619293567
495	0.2618786737
496	0.2618655601
497	0.2618486522
498	0.2618156538
499	0.2617922298
500	0.2617602897
501	0.2617384751
502	0.2617246961
503	0.261676208
504	0.2616623152
505	0.2616392515
506	0.261595295
507	0.2615882117
508	0.2615636348
509	0.2615610347
510	0.2615490154
511	0.2615474506
512	0.2614869382
513	0.261478975
514	0.2614659009
515	0.2614496203
516	0.2614407786
517	0.2612604742
518	0.2610627461
519	0.261053919
520	0.2610174254
521	0.2610058287
522	0.2609962823
523	0.2609961321
524	0.2609174743
525	0.2609075419
526	0.2609012356
527	0.2608768598
528	0.260811768
529	0.2607638006
530	0.2607512896
531	0.2607022941
532	0.2606908411
533	0.260663824
534	0.2605931486
535	0.2605745687
536	0.2605394356
537	0.2605225836
538	0.2605010226
539	0.2604723211
540	0.260452424
541	0.260430298
542	0.2604137101
543	0.2604078493
544	0.2603751185
545	0.2603448088
546	0.2603053378
547	0.2602852454
548	0.260278968
549	0.2602771513
550	0.2602443833
551	0.2602201138
552	0.260191994
553	0.2601897604
554	0.2601502442
555	0.2601453926
556	0.2601285931
557	0.2601104653
558	0.260083713
559	0.2600715065
560	0.2599777732
561	0.2599502619
562	0.2599365708
563	0.2599271706
564	0.2599036053
565	0.2598455029
566	0.2598218134
567	0.2597783788
568	0.259768911
569	0.2597591828
570	0.2597243668
571	0.2597137816
572	0.2595659073
573	0.2595490389
574	0.2594183178
575	0.2593962713
576	0.259362207
577	0.2593274708
578	0.2593251894
579	0.2592903026
580	0.259267266
581	0.2592524898
582	0.2592371082
583	0.2592312742
584	0.2591835333
585	0.2591820144
586	0.2591693381
587	0.2591622449
588	0.259150964
589	0.2591018547
590	0.2590659296
591	0.259048354
592	0.2590269709
593	0.2590009442
594	0.2589877873
595	0.2589801928
596	0.2589778243
597	0.2589574336
598	0.2589486396
599	0.2589378456
600	0.2589233195
601	0.2589111955
602	0.25888189
603	0.2588497091
604	0.2588415955
605	0.2588273025
606	0.2588246782
607	0.2587885727
608	0.2587542945
609	0.2586520826
610	0.2585793658
611	0.2585590471
612	0.2585377436
613	0.2584851949
614	0.2584656648
615	0.25843957
616	0.2584140756
617	0.2584137376
618	0.2583974413
619	0.2583939351
620	0.2583829996
621	0.258343889
622	0.2583312578
623	0.2583269107
624	0.2583025663
625	0.2582929538
626	0.2582868313
627	0.2582590505
628	0.2581290545
629	0.2581109641
630	0.2580891923
631	0.2580332872
632	0.2580106538
633	0.2579870312
634	0.2579763221
635	0.2579440396
636	0.2579406476
637	0.2579263142
638	0.2579181781
639	0.2579117289
640	0.2578489674
641	0.2578416998
642	0.2578326147
643	0.2578317068
644	0.2578296525
645	0.2578203121
646	0.2578007964
647	0.25775541
648	0.25774265
649	0.2577295356
650	0.2577157276
651	0.257696892
652	0.2576661736
653	0.2576428093
654	0.257623013
655	0.2575802788
656	0.2575194122
657	0.2575166448
658	0.257503049
659	0.2574769955
660	0.2574750618
661	0.2574303007
662	0.2574243888
663	0.2574205395
664	0.2574141265
665	0.257391258
666	0.2573761976
667	0.2573611582
668	0.2573223728
669	0.2572689452
670	0.2572536914
671	0.257222332
672	0.2572097348
673	0.2572024794
674	0.2571637819
675	0.2571602727
676	0.2571388224
677	0.2571317808
678	0.257120924
679	0.2570942617
680	0.2570768181
681	0.2570451333
682	0.2570296993
