iter	Passed	Remaining
400	31979	22489
401	32062	22411
402	32145	22334
403	32220	22251
404	32298	22170
405	32375	22088
406	32449	22004
407	32524	21922
408	32600	21840
409	32693	21768
410	32769	21686
411	32847	21606
412	32924	21524
413	33003	21444
414	33084	21365
415	33165	21286
416	33240	21203
417	33317	21122
418	33403	21046
419	33477	20963
420	33551	20880
421	33629	20799
422	33710	20720
423	33784	20637
424	33859	20554
425	33944	20478
426	34025	20399
427	34102	20318
428	34180	20237
429	34254	20154
430	34327	20070
431	34407	19991
432	34508	19923
433	34587	19844
434	34665	19763
435	34743	19682
436	34822	19602
437	34910	19527
438	34992	19449
439	35064	19365
440	35139	19282
441	35212	19199
442	35288	19118
443	35359	19033
444	35438	18953
445	35512	18870
446	35590	18790
447	35666	18709
448	35741	18626
449	35821	18547
450	35899	18466
451	35975	18385
452	36049	18303
453	36120	18219
454	36195	18137
455	36270	18055
456	36346	17974
457	36421	17892
458	36494	17809
459	36571	17729
460	36644	17646
461	36723	17566
462	36799	17485
463	36872	17403
464	36953	17324
465	37026	17241
466	37101	17160
467	37174	17078
468	37253	16998
469	37332	16918
470	37408	16837
471	37490	16759
472	37577	16683
473	37657	16604
474	37733	16523
475	37806	16441
476	37879	16358
477	37955	16277
478	38027	16195
479	38103	16114
480	38180	16034
481	38261	15955
482	38335	15873
483	38409	15792
484	38485	15711
485	38556	15628
486	38630	15547
487	38705	15466
488	38782	15385
489	38857	15305
490	38929	15223
491	39008	15143
492	39083	15062
493	39159	14981
494	39232	14900
495	39305	14818
496	39379	14737
497	39455	14657
498	39531	14576
499	39611	14497
500	39685	14416
501	39760	14335
502	39836	14255
503	39908	14173
504	39984	14093
505	40060	14013
506	40138	13933
507	40215	13853
508	40299	13776
509	40378	13696
510	40458	13618
511	40534	13537
512	40609	13457
513	40690	13378
514	40769	13299
515	40851	13221
516	40929	13141
517	41003	13061
518	41079	12980
519	41155	12900
520	41233	12821
521	41308	12740
522	41381	12659
523	41453	12578
524	41532	12499
525	41604	12418
526	41679	12337
527	41751	12256
528	41824	12175
529	41901	12096
530	41974	12015
531	42050	11935
532	42125	11855
533	42201	11775
534	42274	11694
535	42349	11614
536	42425	11534
537	42499	11454
538	42575	11374
539	42650	11294
540	42725	11214
541	42801	11134
542	42875	11054
543	42953	10975
544	43038	10897
545	43122	10819
546	43200	10740
547	43282	10662
548	43357	10582
549	43433	10502
550	43506	10422
551	43579	10342
552	43656	10262
553	43732	10183
554	43813	10104
555	43893	10025
556	43970	9946
557	44048	9867
558	44124	9788
559	44202	9708
560	44281	9629
561	44362	9551
562	44436	9471
563	44510	9391
564	44584	9311
565	44655	9230
566	44727	9150
567	44807	9071
568	44880	8991
569	44958	8912
570	45032	8832
571	45105	8753
572	45181	8673
573	45259	8594
574	45334	8515
575	45413	8436
576	45503	8359
577	45578	8279
578	45655	8200
579	45727	8120
580	45801	8040
581	45873	7960
582	45951	7881
583	46025	7802
584	46105	7723
585	46186	7645
586	46264	7566
587	46348	7488
588	46421	7408
589	46496	7329
590	46574	7250
591	46647	7170
592	46719	7090
593	46802	7012
594	46880	6933
595	46954	6854
596	47029	6774
597	47104	6695
598	47179	6616
599	47253	6536
600	47327	6457
601	47400	6377
602	47476	6298
603	47555	6219
604	47633	6141
605	47710	6062
606	47784	5982
607	47862	5904
608	47937	5824
609	48017	5746
610	48091	5667
611	48175	5588
612	48248	5509
613	48328	5431
614	48405	5352
615	48481	5273
616	48570	5195
617	48649	5116
618	48726	5037
619	48801	4958
620	48873	4879
621	48946	4800
622	49018	4720
623	49094	4641
624	49169	4562
625	49243	4483
626	49321	4405
627	49397	4326
628	49476	4247
629	49551	4168
630	49623	4089
631	49696	4010
632	49776	3931
633	49854	3853
634	49927	3774
635	50005	3695
636	50082	3616
637	50158	3537
638	50237	3459
639	50313	3380
640	50387	3301
641	50461	3222
642	50534	3143
643	50608	3064
644	50679	2985
645	50756	2907
646	50831	2828
647	50922	2750
648	51004	2672
649	51085	2593
650	51165	2515
651	51239	2436
652	51315	2357
653	51397	2279
654	51473	2200
655	51558	2122
656	51636	2043
657	51710	1964
658	51786	1886
659	51868	1807
660	51953	1729
661	52048	1651
662	52132	1572
663	52215	1494
664	52299	1415
665	52381	1337
666	52462	1258
667	52540	1179
668	52622	1101
669	52701	1022
670	52774	943
671	52851	865
672	52930	786
673	53011	707
674	53083	629
675	53158	550
676	53239	471
677	53317	393
678	53403	314
679	53476	235
680	53556	157
681	53637	78
682	53719	0
