iter	MultiClass
0	1.02419927
1	0.9581426863
2	0.8989333099
3	0.8457168269
4	0.797356449
5	0.7530078714
6	0.7123996492
7	0.6750415202
8	0.640367522
9	0.6083808883
10	0.5787528489
11	0.5512487105
12	0.5255197183
13	0.5015972839
14	0.4792918259
15	0.4581626019
16	0.4384532173
17	0.4198508373
18	0.4023176248
19	0.3857267975
20	0.3700431196
21	0.3552960555
22	0.3413163895
23	0.3282240844
24	0.3157898727
25	0.3040384332
26	0.2928457389
27	0.28224017
28	0.2721086192
29	0.2625131444
30	0.2535069563
31	0.2449145843
32	0.2366837815
33	0.2288436951
34	0.2213904611
35	0.2142946987
36	0.2075750586
37	0.2011679682
38	0.1950461786
39	0.1892140509
40	0.183698569
41	0.1784371546
42	0.1734162396
43	0.1685908531
44	0.1640536826
45	0.1597001377
46	0.1555335861
47	0.1515454758
48	0.1477078369
49	0.1440500024
50	0.1406224988
51	0.1373059709
52	0.1341659661
53	0.1311560984
54	0.12827118
55	0.1254949496
56	0.12282513
57	0.1203353893
58	0.1179037757
59	0.1155671069
60	0.1133826117
61	0.1112604607
62	0.1092421108
63	0.1073106777
64	0.1054656949
65	0.1036871968
66	0.1019807033
67	0.1003853159
68	0.09884019427
69	0.09734606978
70	0.09593128008
71	0.09454664898
72	0.0932284972
73	0.09199494816
74	0.09081479046
75	0.08962914688
76	0.08854744752
77	0.08746952006
78	0.08644603591
79	0.08545974806
80	0.08452466019
81	0.08363457891
82	0.08280832058
83	0.08201047497
84	0.08122945276
85	0.08046843838
86	0.07977861226
87	0.07908852524
88	0.07843927606
89	0.07781201038
90	0.07719954266
91	0.07661238814
92	0.07605200081
93	0.07554070421
94	0.07507142859
95	0.07457973502
96	0.07410612311
97	0.0736675769
98	0.07322486136
99	0.07280624424
100	0.07241296341
101	0.07204903948
102	0.07167020077
103	0.07133818175
104	0.07102251461
105	0.07068373771
106	0.07034905172
107	0.0700499061
108	0.06976525983
109	0.06949185463
110	0.06922279639
111	0.06896450966
112	0.06874303532
113	0.06850698947
114	0.06831348944
115	0.06810294942
116	0.06791297592
117	0.06777722529
118	0.06761530977
119	0.06746588378
120	0.06728222152
121	0.06709841403
122	0.06690687638
123	0.06678247572
124	0.06664608391
125	0.06652631059
126	0.066389091
127	0.06624573483
128	0.06611746197
129	0.0660187113
130	0.06587759787
131	0.06576730767
132	0.06564854909
133	0.06551650152
134	0.06543116824
135	0.06533248259
136	0.06524456742
137	0.06515196004
138	0.06507091037
139	0.06498929179
140	0.06492156723
141	0.06485406889
142	0.06475923358
143	0.06468926104
144	0.06461738415
145	0.06456891074
146	0.06453634023
147	0.0644746121
148	0.06446466761
149	0.06440578657
150	0.06433672475
151	0.06428539247
152	0.06422833924
153	0.06418114751
154	0.06412109688
155	0.06405182806
156	0.06399741531
157	0.06395371404
158	0.06393030097
159	0.06387310709
160	0.06381005994
161	0.06376574953
162	0.0637107535
163	0.06370627561
164	0.06366816052
165	0.06362947593
166	0.06361386788
167	0.06356342226
168	0.06355582184
169	0.06351822471
170	0.06350453802
171	0.06348257487
172	0.06345676307
173	0.06339142961
174	0.06334582265
175	0.06330802029
176	0.06327371915
177	0.06326170058
178	0.06320723232
179	0.06319311456
180	0.06316321858
181	0.06311966089
182	0.06304821887
183	0.06304776895
184	0.06301724119
185	0.06301481436
186	0.06297858265
187	0.06296047544
188	0.06291352449
189	0.06290875549
190	0.06288724046
191	0.0628772853
192	0.0628478707
193	0.06284765899
194	0.06283942705
195	0.06280801905
196	0.06279282836
197	0.06276489339
198	0.06275937681
199	0.06274320078
200	0.06273202562
201	0.0627043404
202	0.06269620145
203	0.06267212214
204	0.0626628893
205	0.06264790157
206	0.06262942033
207	0.06259898176
208	0.06257972432
209	0.0625515577
210	0.06254879083
211	0.06252645465
212	0.06249739403
213	0.06247444564
214	0.06244728374
215	0.06244360299
216	0.06242427981
217	0.06240685582
218	0.06239663489
219	0.06239630108
220	0.06237576529
221	0.06235221111
222	0.06235056103
223	0.06232452945
224	0.06231370083
225	0.06231305089
226	0.06229576637
227	0.06229402802
228	0.06227356145
229	0.06225911385
230	0.06225483871
231	0.06225088457
232	0.06223684123
233	0.06222936432
234	0.06221611481
235	0.06219671477
236	0.06214967978
237	0.06214798564
238	0.06213580837
239	0.06212700392
240	0.06212597685
241	0.06207967389
242	0.06206747131
243	0.06205071549
244	0.06204272554
245	0.06204272074
246	0.06203161605
247	0.06201782482
248	0.06200980732
249	0.06200089562
250	0.06197447557
251	0.06195959692
252	0.06193201342
253	0.06191823034
254	0.06191089352
255	0.06190189701
256	0.06190165391
257	0.06190165133
258	0.0618888375
259	0.06186511129
